交易日期,北向资金
20170220,1833000000
20170221,1314000000
20170222,1077000000
20170223,1414000000
20170224,771000000
20170227,375000000
20170228,150000000
20170301,893000000
20170302,392000000
20170303,128000000
20170306,257000000
20170307,303000000
20170308,61000000
20170309,-1912000000
20170310,-842000000
20170313,719000000
20170314,-991000000
20170315,355000000
20170316,1780000000
20170317,1205000000
20170320,1567000000
20170321,873000000
20170322,526000000
20170323,1688000000
20170324,1725000000
20170327,318000000
20170328,881000000
20170329,266000000
20170330,1180000000
20170331,-200000000
20170405,1400000000
20170406,-2000000
20170407,450000000
20170410,740000000
20170411,-474000000
20170412,-355000000
20170418,24000000
20170419,1051000000
20170420,1633000000
20170421,635000000
20170424,356000000
20170425,1409000000
20170426,960000000
20170427,522000000
20170428,1673000000
20170504,1044000000
20170505,-265000000
20170508,219000000
20170509,2133000000
20170510,2125000000
20170511,2245000000
20170512,107000000
20170515,1650000000
20170516,3001000000
20170517,1493000000
20170518,960000000
20170519,1270000000
20170522,565000000
20170523,278000000
20170524,1052000000
20170525,1507000000
20170526,-15000000
20170531,-1627000000
20170601,-1697000000
20170602,1563000000
20170605,1802000000
20170606,2021000000
20170607,2255000000
20170608,2288000000
20170609,1325000000
20170612,-1060000000
20170613,482000000
20170614,-1324000000
20170615,2225000000
20170616,975000000
20170619,2288000000
20170620,312000000
20170621,1372000000
20170622,1689000000
20170623,1405000000
20170626,135000000
20170627,2648000000
20170628,-399000000
20170629,2996000000
20170630,-1182000000
20170703,408000000
20170704,-600000000
20170705,569000000
20170706,-1071000000
20170707,264000000
20170710,895000000
20170711,821000000
20170712,1503000000
20170713,1351000000
20170714,53000000
20170717,1349000000
20170718,2001000000
20170719,1753000000
20170720,128000000
20170721,1524000000
20170724,1589000000
20170725,1235000000
20170726,1774000000
20170727,2672000000
20170728,2307000000
20170731,1888000000
20170801,1489000000
20170802,280000000
20170803,2349000000
20170804,2813000000
20170807,2788000000
20170808,1821000000
20170809,1215000000
20170810,-279000000
20170811,-904000000
20170814,224000000
20170815,-79000000
20170816,812000000
20170817,635000000
20170818,-1071000000
20170821,71000000
20170822,19000000
20170824,1241000000
20170825,3044000000
20170828,3771000000
20170829,1721000000
20170830,3287000000
20170831,1778000000
20170901,4179000000
20170904,1720000000
20170905,940000000
20170906,162000000
20170907,932000000
20170908,430000000
20170911,2007000000
20170912,2468000000
20170913,235000000
20170914,47000000
20170915,-187000000
20170918,4388000000
20170919,138000000
20170920,2006000000
20170921,1198000000
20170922,486000000
20170925,-1769000000
20170926,29000000
20170927,648000000
20170928,-375000000
20170929,1129000000
20171009,7564000000
20171010,4087000000
20171011,1596000000
20171012,358000000
20171013,273000000
20171016,1407000000
20171017,1686000000
20171018,-572000000
20171019,-34000000
20171020,-169000000
20171023,-1487000000
20171024,-3270000000
20171025,463000000
20171026,1524000000
20171027,77000000
20171030,-1166000000
20171031,-515000000
20171101,2549000000
20171102,1518000000
20171103,190000000
20171106,484000000
20171107,1523000000
20171108,1870000000
20171109,2984000000
20171110,231000000
20171113,574000000
20171114,329368700
20171115,-2157483300
20171116,426626700
20171117,-1549423700
20171120,-937146600
20171121,-700822200
20171122,402964600
20171123,1886900100
20171124,807272500
20171127,-1433153000
20171128,3295474500
20171129,1294411200
20171130,-980253900
20171201,3242428200
20171204,-146287500
20171205,-3230807700
20171206,-3934834400
20171207,-1550323900
20171208,3637753000
20171211,1527402300
20171212,-735544100
20171213,2881047400
20171214,619233600
20171215,-2662992700
20171218,1870854400
20171219,1585124000
20171220,-933899300
20171221,1252490100
20171227,832387900
20171228,2785680400
20171229,1525740100
20180102,3357065600
20180103,4430830300
20180104,4340970100
20180105,2411439800
20180108,1710811700
20180109,2842529300
20180110,1549284600
20180111,73016900
20180112,2119397500
20180115,-1759110300
20180116,2292643700
20180117,-828013100
20180118,1806891800
20180119,1046270800
20180122,2171053100
20180123,2666081200
20180124,122560400
20180125,2223898800
20180126,3003435200
20180129,-824975400
20180130,406701300
20180131,-55228000
20180201,271234800
20180202,-151505000
20180205,-3463017400
20180206,-9792858000
20180207,1716537100
20180208,2875412600
20180209,-2608733400
20180212,-1258237400
20180213,-878665900
20180214,1154927100
20180222,2370968600
20180223,1779122900
20180226,3209570300
20180227,2600257100
20180228,-454582900
20180301,1217665900
20180302,-1059346000
20180305,-1376530500
20180306,979582500
20180307,-2566800300
20180308,2826285700
20180309,1402369700
20180312,2367960200
20180313,1360708900
20180314,590178000
20180315,1377497400
20180316,-2185114700
20180319,884648700
20180320,-872011800
20180321,537632500
20180322,371913500
20180323,-1745687900
20180326,3839924200
20180327,1059062600
20180328,702610100
20180403,2906426500
20180404,1411430900
20180409,3274476500
20180410,3345116500
20180411,940420300
20180412,2831476200
20180413,2302190800
20180416,2607747000
20180417,687614200
20180418,7220305500
20180419,5266432800
20180420,-1160214500
20180423,2333340400
20180424,3900231600
20180425,1379097300
20180426,-3099939500
20180427,2503022700
20180502,4569903800
20180503,407674200
20180504,-1333953700
20180507,2708974600
20180508,1940540800
20180509,2186423000
20180510,3008662800
20180511,2549948700
20180514,5685807800
20180515,3632116600
20180516,1107313000
20180517,2279849100
20180518,3437888700
20180523,2231124800
20180524,2048885400
20180525,2034256200
20180528,3872167800
20180529,1465869300
20180530,1270004500
20180531,5747777900
20180601,2193384200
20180604,6032143000
20180605,3736623200
20180606,2660412300
20180607,4141888900
20180608,142845400
20180611,4261680800
20180612,2492117600
20180613,1416264100
20180614,2806020100
20180615,2628386200
20180619,-2111567000
20180620,753519900
20180621,-910936200
20180622,111572700
20180625,-3779401400
20180626,2363240900
20180627,-1250654300
20180628,805010100
20180703,343255400
20180704,-1432822900
20180705,2265548500
20180706,4385443900
20180709,3431638000
20180710,609215200
20180711,-253604600
20180712,1792444100
20180713,1088640100
20180716,-99324100
20180717,-633033300
20180718,-97000000
20180719,2439515300
20180720,2136003100
20180723,-138490300
20180724,2634741600
20180725,1617577100
20180726,393310800
20180727,2556691300
20180730,2350588300
20180731,3092909600
20180801,938659900
20180802,362899300
20180803,510564400
20180806,3063116200
20180807,2985008900
20180808,1658023800
20180809,5214501800
20180810,54197400
20180813,-577946400
20180814,-1339709600
20180815,-1527153100
20180816,2171894500
20180817,367533200
20180820,5656097500
20180821,2814744800
20180822,2003217200
20180823,1259914600
20180824,-176869500
20180827,2167642500
20180828,1430720400
20180829,2031947300
20180830,616361000
20180831,3767192300
20180903,270766600
20180904,1351124800
20180905,-3108859100
20180906,886290700
20180907,-287000000
20180910,-604712700
20180911,-42036900
20180912,-1045353900
20180913,2739928700
20180914,2807409800
20180917,691341100
20180918,1917093800
20180919,776178800
20180920,4800220500
20180926,1877731400
20180927,2889398900
20180928,1626309300
20181008,-9716115300
20181009,-3079833900
20181010,-1612032500
20181011,-3632357400
20181012,1072532800
20181015,-1104667300
20181018,-633958000
20181019,4322538700
20181022,-762007600
20181023,-353055100
20181024,1470651000
20181025,-3601836500
20181026,-1665128800
20181029,2788417000
20181030,229500300
20181031,5748683900
20181101,8482475800
20181102,17384667000
20181105,938372900
20181106,-1795296500
20181107,2028516100
20181108,3857347100
20181109,92460400
20181112,1103174100
20181113,2395802700
20181114,-896359100
20181115,2537763500
20181116,1995784100
20181119,1642124500
20181120,-3064154100
20181121,951044700
20181122,-675481800
20181123,-1051209900
20181126,2392950800
20181127,145371500
20181128,2539165700
20181129,1073263100
20181130,4834606300
20181203,12141327000
20181204,4291695000
20181205,890715600
20181206,-4229506100
20181207,-512220400
20181210,-1770161400
20181211,300516700
20181212,1265740500
20181213,6619431600
20181214,-1526000000
20181217,1258605800
20181218,-3012157500
20181219,-784774300
20181220,-1179622100
20181221,-192912900
20181227,533596100
20181228,2229674900
20190102,353881300
20190103,780176800
20190104,236849700
20190107,1646346000
20190108,1416054200
20190109,6763121700
20190110,1639199800
20190111,4266431700
20190114,-1684172000
20190115,5180280800
20190116,2527321200
20190117,2585597900
20190118,8421007900
20190121,3223701200
20190122,-1392963400
20190123,1811905100
20190124,2445634300
20190125,3493232600
20190128,4940400600
20190129,2375956600
20190130,994155300
20190131,8663911600
20190201,5546585700
20190211,4569044800
20190212,5326213400
20190213,8601340100
20190214,5680982900
20190215,2193831000
20190218,4788066400
20190219,1618013400
20190220,4758158700
20190221,2318064900
20190222,5998985800
20190225,-716056900
20190226,1992774800
20190227,4875523100
20190228,2839931500
20190301,3020353600
20190304,3539549600
20190305,4157462200
20190306,-834570600
20190307,-3968869000
20190308,-1227693500
20190311,-1986660600
